Neufuén;NE3001;1332560;0.46370093941841284;20963;16264;27180;35923;45096;10693;40970;44934;49469;47585;26270;48519;14274;21660;43981;31877;29310;17421;41663;40657;18052;10887;10333;14998;14209;41623;40876;16421;14373;39401;19841;47278;26028;35210;13344;38092;41480;22280;25973;17655;44717;30965;25710;39133;16376;22411;40883;21130;24701;29161;29699;46659;16171;27387;21932;39859;30302;29497;22439;35261;46402;38278;33869;24304;28126;11768;12922;49432;29316;47287;43965;23217;26004;47614;49721;29943;30504;20351;20251;40985;47903;22819;31287;45515;32265;28655;34818;49467;41516;38978;22822;42971;34737;15547;13574;39773;38318;42423;23950;11261;33297;35959;29173;31288;25445;49633;37586;22554;43716;17053;36248;49269;38746;45920;24176;27757;28433;16965;33649;30321;
Rionegra;RI3009;1158958;0.31033017902175586;29572;37864;31211;24701;17593;13328;35050;14896;37181;11041;15597;21553;24206;29462;23617;17294;39178;18434;29706;15423;18274;38304;45123;43264;15469;35895;38627;16079;15257;16682;31899;25668;48316;13146;11004;31816;47176;13240;49782;33715;38173;20522;46268;44422;11705;43353;30595;38850;30539;46165;36456;13475;45797;19174;24817;31420;30927;19312;22635;23600;21495;35777;21747;43018;37575;36155;36113;29626;31887;23513;27263;39469;22945;35039;28679;40519;22204;41122;21386;10816;10848;13361;42333;20184;38208;22047;16717;47160;11414;23342;47939;18087;25232;26394;28547;28389;38824;37631;42510;44328;42193;34215;13160;41584;37133;23924;11700;22537;48860;37094;38267;10973;34254;30282;29195;36339;12794;16640;49340;25608;
Solandina;SO3004;1156375;0.15286326185913487;21960;27303;34215;35438;18473;43492;28826;46039;34213;13586;34520;46293;37906;17636;44573;24741;45727;12187;24537;35705;20333;12953;30229;44248;29767;15764;47037;30241;27264;29926;49166;14959;38504;20929;28636;30488;37290;14015;22720;20752;20293;21911;46174;44907;35109;34988;11023;20608;31325;33791;17839;25641;11268;13125;44484;49062;21481;15892;14217;46369;47348;24758;32023;44300;17690;46880;33519;49254;25532;10237;29158;23133;14301;41699;39533;43854;13310;18023;30204;12392;48408;17484;23707;16302;11701;28886;40333;12571;40108;13821;22873;31647;40119;37757;25526;35784;45682;48842;14098;34492;38643;24481;18431;27554;42240;41914;44923;33569;16561;15770;47578;40832;13859;39876;32018;21101;32470;48655;20323;44569;
Terraviva;TE3005;961844;0.4111898648233965;45504;16607;16189;33439;27718;23621;45378;36602;29565;22626;31024;24319;44100;48963;41056;33850;44425;31314;25288;27612;48430;47123;44589;34055;17417;47098;21301;37178;16838;24102;35930;16020;24040;48254;15483;15942;41644;28199;11149;31194;29006;15071;24366;30170;31269;29113;48730;31902;40169;34421;32950;10934;20373;14011;22282;24048;18983;42164;38348;41030;21125;26566;27351;37671;11194;49258;31227;36512;29725;41515;31086;16807;10066;18364;42719;37956;29162;42742;10219;41501;49574;14382;43689;37276;32217;41520;10784;49726;36523;21722;19608;24059;12985;29590;13773;19662;29850;39541;13824;43616;29117;39077;43817;31061;17774;36367;16647;33202;33079;17423;23063;25384;30691;13201;32611;28738;44382;18308;35505;28200;
Bosquemonte;BO3013;1434568;0.5727971133123722;48270;19656;27180;40897;31868;47533;40884;21712;10938;10288;21673;21698;34775;23685;30570;10217;38294;18416;42200;36515;49142;13317;14193;22824;29661;21640;44174;29955;36256;22066;38837;31070;21745;24725;17436;29045;45286;40151;13691;26413;47010;26650;38092;20093;34402;38140;24994;25546;10726;47866;37091;19473;47993;32303;39460;23870;25055;21179;25183;49241;16795;39166;25427;38432;34266;46020;42041;46575;29759;44923;12446;38044;45132;47455;24418;26911;18922;10806;43531;17966;26197;49911;12678;18472;14502;26374;46012;23527;21182;38362;25229;20152;25228;21312;44652;41063;34236;21112;32279;49907;12477;20413;43441;31584;26348;33763;37821;23148;16546;10136;10489;23641;30167;17740;47125;29673;14193;22253;46159;18472;
Cupral-Có;CC3002;707261;0.953757884138455;24099;19304;21531;40660;28278;10379;35095;32459;28227;20817;26690;43208;44671;30007;13898;34228;29222;49535;34758;43456;17935;26976;35934;42211;29978;43853;37001;33839;21957;28512;12913;15247;14878;39715;31668;28831;33299;12859;32452;36904;43877;36914;48942;24630;32379;21023;23992;44120;27731;37876;38371;36788;13395;12132;11087;25988;25789;19631;47678;15089;19393;33035;13488;10890;21997;39665;29230;34017;40704;39297;12963;40834;22940;14802;13924;30929;13657;35546;18833;23039;24694;41079;26451;41065;12138;14744;12101;19981;17241;25930;35311;30121;20962;46371;44461;42482;36117;14277;10350;41198;26370;21967;46168;32110;37868;47398;24457;42860;32861;48859;36857;13053;20051;19770;13883;16690;45144;35822;19810;27345;
Maravélica;MA3003;1062783;0.4416557433437285;21163;36714;29082;16330;17434;23705;29907;27415;20249;35357;39899;17287;18624;42074;10658;44864;32026;41994;16278;37332;11620;25583;48113;39807;38053;33248;35100;20876;43941;24773;13119;43094;15563;17758;20006;15020;21206;12861;11409;31182;39480;43092;24856;13460;43850;16553;22969;26350;43632;30886;39808;20742;16843;39500;42385;17858;39124;44104;17109;31013;19419;46238;29311;38421;16669;36290;40890;47863;11195;28357;36593;30134;27869;47340;15866;15907;30754;44957;32672;36023;10882;41587;49675;25011;38339;46577;16718;29160;16917;39890;24141;44243;44746;26878;40713;10912;46068;35353;44810;12815;45405;10550;17832;43380;15133;12521;42229;28888;39388;40570;28106;25853;20709;16246;47981;33983;29922;43999;36892;18006;
Piedraluna;PI3006;1335434;0.14348233116935363;49720;17156;15658;14929;24156;28326;24745;28682;32600;45582;34579;18025;10923;24140;22927;27774;12695;43659;12677;33900;37991;49131;12850;16281;23631;24252;38300;10350;21104;41944;31775;43787;47290;29661;15461;20875;40684;19781;28404;18734;26551;29733;40481;30057;42880;26559;37474;28999;13445;38147;39425;24378;10007;17257;17965;10818;25925;22116;20715;32377;14105;42115;37609;35000;14268;34345;29619;30314;29492;10663;23487;12651;25614;24499;49122;19804;40535;20040;49701;14470;38788;20569;34547;26856;38385;29490;11113;16159;35846;47214;22672;37680;29942;12751;10471;49909;12705;30205;20632;38306;42714;27742;27277;23860;12354;39630;16476;47093;23763;19451;34718;18222;32185;42400;46109;11113;20058;19676;44267;41057;
Valleverde;VA3007;1302535;0.9298907585173787;37192;25258;42576;31323;11253;48015;15725;31705;33577;43007;28415;12004;13436;38584;38793;17106;24809;30168;35182;25039;23346;25800;22317;14533;16049;28534;48634;42039;49085;18042;39738;37293;16629;36890;30618;32714;25836;24297;29643;16697;40497;34698;33566;22214;40505;49874;41401;44361;32300;11531;27252;24316;41481;39253;20755;26286;15222;49960;20447;13457;33256;10228;38115;34477;34859;35497;47104;31927;33294;43859;14574;22076;43695;18460;29967;25464;16479;27701;20913;34244;12337;32912;42849;35371;24356;11589;22566;30493;30506;35540;17441;31612;12820;20554;12223;19924;45789;21948;32088;22056;45008;17904;19751;29991;42518;49628;31462;27326;41568;49286;35910;47751;11565;14474;31560;24350;43832;35450;20795;32980;
Monteaurora;MO3008;1350994;0.5716277046877029;21245;42999;26014;43553;47652;43712;24630;10100;41055;49828;28710;30284;44285;46235;18284;18871;17947;43377;25191;41291;18902;22612;37854;29439;20954;49530;24345;41381;29721;34481;32557;22984;30680;41476;45974;41694;47395;15815;44796;20778;22241;40896;35800;26481;26690;10034;45680;13142;15636;19399;16382;23188;42869;16985;38767;20760;42083;33181;24135;32505;17584;32556;13857;37141;42513;17007;45844;30601;30549;32743;48370;45516;22898;29271;38890;40489;28666;31758;17037;30871;21998;18069;21741;24822;33449;12337;49698;34024;35197;28693;37478;18634;42715;10855;14560;48718;21355;38317;36606;36854;30972;40788;33083;35503;12437;29597;10368;21256;20714;20388;25127;13069;34090;36430;35994;12548;40757;17807;10714;10371;
Fuenteluz;FU3010;1087803;0.5179292327114406;31788;20832;18325;43533;31367;45868;19696;10230;19706;24094;39425;40187;44967;49488;32454;22782;20450;48277;36072;12129;14542;44495;27305;10792;47315;21790;21033;35644;33277;47603;38100;17291;45748;49602;13675;32205;38292;34198;35950;41890;25001;38974;15075;23383;32968;15141;36166;33032;19404;41471;11085;45919;10028;40288;12119;49850;12662;42151;27696;28267;18090;10519;35779;14745;36661;20230;13405;17667;13705;48173;46874;17125;49941;26912;38318;40435;28646;29465;36114;10754;37018;45869;11400;12742;26492;44384;34061;34550;48257;10644;19227;37644;39198;17628;45272;45224;31876;15726;47966;45780;12153;20087;38248;20386;26196;35721;19221;14834;45013;35120;48092;17872;38687;19938;28237;27962;34067;24852;13504;32639;
Ventisquero Alto;VE3011;1175257;0.1024789645016404;21442;40557;12677;48070;24158;48948;30144;42211;34212;22010;47287;37772;46655;15866;35132;18830;20025;21609;38829;49178;10582;42543;42594;44815;45086;13827;17664;14434;10104;36385;32554;42152;42994;38571;32152;48512;45469;48282;38143;45856;35477;18591;11120;20474;32671;27418;25981;33226;42859;28533;47253;43455;25208;15903;40113;40387;11927;20833;26343;49513;42631;26078;46876;33395;40127;42795;24983;33404;12747;48649;32816;17288;38158;25083;11111;37862;18534;48136;36881;13888;25964;22863;46124;12671;39194;34306;43156;43933;46792;23873;36943;16392;15503;27923;43586;23408;42062;43459;48455;47214;45387;34581;10198;15504;15281;32163;25119;11269;28791;34905;44794;26018;40162;33737;44598;46222;41505;34540;21390;16080;
